office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,Alphen Chaam,Alphen-Chaam,Alphen-Chaam,Alphen Chaam,alias,,Noord-Brabant,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,0.85,false,seed,seed,90,valid,contains listing signal,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,Alphen Chaam,Alphen-Chaam,Alphen-Chaam,Alphen Chaam,alias,,Noord-Brabant,,missing,0.65,true,seed,seed,20,missing,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.vhno.nl/aanbod,https://www.vhno.nl/woningaanbod,https://www.vhno.nl/koopwoningen"
Baas Makelaardij B.V.,http://www.baasmakelaardij.nl,baasmakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17,valid,0.85,false,seed,seed,90,valid,contains listing signal,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,0.65,true,seed,seed,0,missing,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.hofstedebedrijfshuisvesting.nl/aanbod,https://www.hofstedebedrijfshuisvesting.nl/woningaanbod,https://www.hofstedebedrijfshuisvesting.nl/koopwoningen"
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,0.65,true,seed,seed,20,missing,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.hofstedelandvanheusden.nl/aanbod,https://www.hofstedelandvanheusden.nl/woningaanbod,https://www.hofstedelandvanheusden.nl/koopwoningen"
Hofstede Makelaardij Werkendam,http://www.hofstedemakelaardij.nl,hofstedemakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.hofstedemakelaardij.nl/aanbod,http://www.hofstedemakelaardij.nl/woningaanbod,http://www.hofstedemakelaardij.nl/koopwoningen"
Hoogveste B.V.,http://www.hoogveste.nl,hoogveste.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,http://www.hoogveste.nl/aanbod/woningaanbod/nieuwe-niedorp/koop/huis-10300026-Vijverweg-1673,valid,0.85,false,seed,seed,70,valid,contains listing signal,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Kolpa OZP makelaars,http://www.kolpa-ozp.nl,kolpa-ozp.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.kolpa-ozp.nl/aanbod,http://www.kolpa-ozp.nl/woningaanbod,http://www.kolpa-ozp.nl/koopwoningen"
Lamper & van Vliet Woningmakelaars,http://www.lvmakelaars.nl,lvmakelaars.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.lvmakelaars.nl/wonen,valid,0.85,false,seed,seed,90,valid,contains listing signal,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,wonen | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Merwelanden Vastgoed Associatie BV,http://www.merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.merwelanden-makelaardij.nl/aanbod,http://www.merwelanden-makelaardij.nl/woningaanbod,http://www.merwelanden-makelaardij.nl/koopwoningen"
