office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes,raw_place,normalized_place,gemeente,place_status,place_review_reason
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,broedersmakelaardij.nl,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,Alphen Chaam,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=5, huur=0",Alphen Chaam,Alphen-Chaam,Alphen-Chaam,alias,
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,vhno.nl,,missing,Alphen Chaam,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Alphen Chaam,Alphen-Chaam,Alphen-Chaam,alias,
Baas Makelaardij B.V.,http://www.baasmakelaardij.nl,baasmakelaardij.nl,baasmakelaardij.nl,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17,valid,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0",Altena,Altena,Altena,current_gemeente,
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Altena,Altena,Altena,current_gemeente,
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Altena,Altena,Altena,current_gemeente,
Hofstede Makelaardij Werkendam,http://www.hofstedemakelaardij.nl,hofstedemakelaardij.nl,hofstedemakelaardij.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Altena,Altena,Altena,current_gemeente,
Hoogveste B.V.,http://www.hoogveste.nl,hoogveste.nl,hoogveste.nl,http://www.hoogveste.nl/aanbod/woningaanbod/nieuwe-niedorp/koop/huis-10300026-Vijverweg-1673,valid,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=9, koop=4, huur=0",Altena,Altena,Altena,current_gemeente,
Kolpa OZP makelaars,http://www.kolpa-ozp.nl,kolpa-ozp.nl,kolpa-ozp.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Altena,Altena,Altena,current_gemeente,
Lamper & van Vliet Woningmakelaars,http://www.lvmakelaars.nl,lvmakelaars.nl,lvmakelaars.nl,https://www.lvmakelaars.nl/wonen,valid,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=2, huur=0",Altena,Altena,Altena,current_gemeente,
Merwelanden Vastgoed Associatie BV,http://www.merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,,missing,Altena,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Altena,Altena,Altena,current_gemeente,
