office_name,website,root_domain,gemeente,plaats,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,score,status,review_reason,evidence
Abelen Makelaars en Taxateurs b.v.,http://www.abelen.nl,abelen.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.abelen.nl/aanbod,http://www.abelen.nl/woningaanbod,http://www.abelen.nl/koopwoningen"
AMB Makelaars,http://www.amb-makelaars.nl,amb-makelaars.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://www.amb-makelaars.nl/aanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Atenzijlstra Makelaars,http://www.atenzijlstra.nl,atenzijlstra.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.atenzijlstra.nl/aanbod,http://www.atenzijlstra.nl/woningaanbod,http://www.atenzijlstra.nl/koopwoningen"
Carré De Wit makelaardij,https://www.carredewit.nl,carredewit.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://www.carredewit.nl/woningaanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
De Huyzerij,http://www.dehuyzerij.nl,dehuyzerij.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,http://www.dehuyzerij.nl/aanbod/woningaanbod/'s-hertogenbosch/koop/huis-10187874-Uilenburg-32,valid,0.85,false,seed,80,valid,contains listing signal,"website_exists=true | makelaar_signals=aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
de Koster Makelaars,http://www.dekostermakelaars.nl,dekostermakelaars.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,http://www.dekostermakelaars.nl/aanbod/woningaanbod/'s-hertogenbosch/koop/huis-10236410-Lange-Putstraat-35,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
DUX Real Estate B.V.,https://www.duxrealestate.nl,duxrealestate.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://duxrealestate.nl/aanbod/s-hertogenbosch/graaf-van-solmsweg-99-e-30,valid,0.85,false,seed,90,valid,contains listing signal,website_exists=true | makelaar_signals=aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal
GeWOON Makelaars,http://www.gewoonmakelaars.nl,gewoonmakelaars.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,http://www.gewoonmakelaars.nl/aanbod/woningaanbod/koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Hendriks Makelaardij 's-Hertogenbosch,http://www.hendriks.nl,hendriks.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Het Waare Huis,http://www.hetwaarehuis.nl,hetwaarehuis.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://www.hetwaarehuis.nl/nieuwbouw/nieuwbouw-de-beemden-groote-wielen-noord,suspect,0.65,true,seed,20,missing,suspect koopaanbod_url: missing listing signal; missing listing signal,website_exists=true | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal
