office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Bato makelaars,,,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,alias,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2756770609 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5235KG | lat=51.7229017 | lon=5.3138655,node,2756770609,,,'s-Hertogenbosch,5235KG,,,,,51.7229017,5.3138655,website_exists=false | rejection_reason=missing_website
De Huyzerij,,,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,alias,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2736284126 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5211PH | lat=51.6922576 | lon=5.308716,node,2736284126,,,'s-Hertogenbosch,5211PH,,,,,51.6922576,5.308716,website_exists=false | rejection_reason=missing_website
NL Wonen,,,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,alias,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2730768798 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5216BW | lat=51.6800639 | lon=5.3173487,node,2730768798,,,'s-Hertogenbosch,5216BW,,,,,51.6800639,5.3173487,website_exists=false | rejection_reason=missing_website
Roscam Makelaar,,,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,alias,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2731132571 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5211PR | lat=51.690629 | lon=5.31619,node,2731132571,,,'s-Hertogenbosch,5211PR,,,,,51.690629,5.31619,website_exists=false | rejection_reason=missing_website
Staete,,,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,'s-Hertogenbosch,alias,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2736792032 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5211KN | lat=51.6870152 | lon=5.3056563,node,2736792032,,,'s-Hertogenbosch,5211KN,,,,,51.6870152,5.3056563,website_exists=false | rejection_reason=missing_website
Adriaan Heuvel,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=11955510586 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4243481 | lon=5.4854966,node,11955510586,,,,,,,,,51.4243481,5.4854966,website_exists=false | rejection_reason=missing_website
Brabant BV,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=6296036163 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4595155 | lon=5.4894163,node,6296036163,,,,,,,,,51.4595155,5.4894163,website_exists=false | rejection_reason=missing_website
Casa Nostra,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=11786769549 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.2740686 | lon=5.5734861,node,11786769549,,,,,,,,,51.2740686,5.5734861,website_exists=false | rejection_reason=missing_website
Debbie Mels Lommers Makelaars,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=3579525469 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.427947 | lon=5.4865195,node,3579525469,,,,,,,,,51.427947,5.4865195,website_exists=false | rejection_reason=missing_website
Hypodomus,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=11955512985 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4244475 | lon=5.4855513,node,11955512985,,,,,,,,,51.4244475,5.4855513,website_exists=false | rejection_reason=missing_website
Meneer de Makelaar,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=11955530728 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4259964 | lon=5.4859299,node,11955530728,,,,,,,,,51.4259964,5.4859299,website_exists=false | rejection_reason=missing_website
Samen-wonen Vastgoed Makelaardij,,,,(unknown),(unknown),,needs_review,Missing addr:city in Overpass tags.,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=3579525478 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4274356 | lon=5.4864557,node,3579525478,,,,,,,,,51.4274356,5.4864557,website_exists=false | rejection_reason=missing_website
