office_name,website,root_domain,gemeente,final_status,final_aanbod_url,confidence,detection_method,homepage_status,homepage_title,candidates_found_count,candidates_tested_count,best_candidate_url,final_page_type,residential_signals_count,residential_signals_found,commercial_signals_count,commercial_signals_found,page_quality_reason,commercial_hard_block,commercial_block_reason,is_duplicate_audit_result,listing_signals_count,listing_signals_found,rejection_reason,elapsed_ms
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,Alphen-Chaam,valid,https://vhno.nl/aanbod,100,homepage_link,200,Home - Van Hoven & Oomen,7,1,https://vhno.nl/aanbod,listing_index,7,"woning,woningen,vrijstaand,tussenwoning,hoekwoning,woonoppervlakte,k.k.",0,,residential_listing_index,false,,false,10,"prijs,k.k.,koop,verkocht,woonoppervlakte,perceel,kamers,woning,vrijstaand,tussenwoning",,14277
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,Altena,rejected,,45,homepage_link,200,Homepage | Hofstede Makelaardij,17,1,https://hofstedebedrijfshuisvesting.nl/aanbod/aanbod.html,commercial_listing,5,"woning,huis,huizen,k.k.,vraagprijs",4,"bedrijfsaanbod,bedrijfshuisvesting,bedrijfsruimte,kantoorruimte",commercial_only,true,path:bedrijfshuisvesting,false,8,"prijs,vraagprijs,k.k.,koop,verkocht,perceel,adres,woning",commercial_only,32778
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,Altena,valid,https://hofstedelandvanheusden.nl/aanbod,100,common_path,200,"Makelaar, taxateur & vastgoedadviseur in Land van Heusden",14,8,https://hofstedelandvanheusden.nl/aanbod,listing_index,9,"woning,woningen,appartement,huis,vrijstaand,tussenwoning,hoekwoning,woonoppervlakte,k.k.",0,,residential_listing_index,false,,false,12,"prijs,k.k.,koop,verkocht,onder bod,woonoppervlakte,perceel,kamers,woning,appartement,vrijstaand,tussenwoning",,31847
Hofstede Makelaardij Werkendam,http://www.hofstedemakelaardij.nl,hofstedemakelaardij.nl,Altena,valid,https://hofstedemakelaardij.nl/aanbod,100,common_path,200,"Makelaar, taxateur & vastgoedadviseur - Hofstede Makelaardij",7,1,https://hofstedemakelaardij.nl/aanbod,listing_index,9,"woning,woningen,appartement,huis,vrijstaand,tussenwoning,hoekwoning,woonoppervlakte,k.k.",0,,residential_listing_index,false,,false,12,"prijs,k.k.,koop,verkocht,onder bod,woonoppervlakte,perceel,kamers,woning,appartement,vrijstaand,tussenwoning",,15695
Kolpa OZP makelaars,http://www.kolpa-ozp.nl,kolpa-ozp.nl,Altena,suspect,https://kolpa.nl/vestigingen/dordrecht,73,common_path,200,Makelaar Dordrecht | Kolpa Makelaars & Taxateurs – Lokale Exp,7,1,https://kolpa.nl/vestigingen/dordrecht,project_page,2,"woning,woningen",0,,project_page,false,,false,4,"beschikbaar,adres,postcode,woning",project_page,25145
Merwelanden Vastgoed Associatie BV,http://www.merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,Altena,missing,,0,failed,200,,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,988
Nouwen Makelaardij o.g. b.v.,http://www.nouwen.nl,nouwen.nl,Altena,suspect,https://nouwen.nl,86,homepage_link,200,Makelaar Dordrecht - NOUWEN Makelaardij,8,1,https://nouwen.nl,project_page,3,"woning,woningen,huis",0,,project_page,false,,false,4,"koop,verkocht,adres,woning",project_page,4910
Taxanja Taxaties,https://www.taxanja.nl,taxanja.nl,Altena,missing,,0,failed,200,Taxanja - HOME,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,3250
Zoomer Nijp Taxatieburo B.V.,http://www.nijpmakelaars.nl,nijpmakelaars.nl,Altena,missing,,0,failed,200,Web Server's Default Page,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,820
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,Asten,missing,,0,failed,200,Professionele taxatie van uw woning - Berkers Taxaties,7,0,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,2007
Peter van den Oetelaar Lommers Makelaars,http://www.lommersmakelaars.nl,lommersmakelaars.nl,Bergeijk,missing,,0,failed,200,Wij zijn Lommers. De makelaar die méér in huis heeft,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,4345
Wijman & Jansen ERA makelaars,https://www.wijmanjansen.nl,wijmanjansen.nl,Bergeijk,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.wijmanjansen.nl/
Call log:
  - navigating to ""https://www.wijmanjansen.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.wijmanjansen.nl/
Call log:
  - navigating to ""https://www.wijmanjansen.nl/"", waiting until ""domcontentloaded""
",56
Brabant Makelaardij,http://www.brabantmakelaardij.nl,brabantmakelaardij.nl,Bergen op Zoom,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.brabantmakelaardij.nl/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.brabantmakelaardij.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.brabantmakelaardij.nl/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.brabantmakelaardij.nl/"", waiting until ""domcontentloaded""
",221
DE VIERWINDEN MAKELAARDIJ B.V.,http://www.devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,Bergen op Zoom,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.devierwindenmakelaardij.nl/"" is interrupted by another navigation to ""https://www.brabantmakelaardij.nl/""
Call log:
  - navigating to ""http://www.devierwindenmakelaardij.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.devierwindenmakelaardij.nl/"" is interrupted by another navigation to ""https://www.brabantmakelaardij.nl/""
Call log:
  - navigating to ""http://www.devierwindenmakelaardij.nl/"", waiting until ""domcontentloaded""
",775
Van den Berk & Kerkhof Makelaars en Taxateurs,http://www.berkkerkhof.nl,berkkerkhof.nl,Best,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.berkkerkhof.nl/"" is interrupted by another navigation to ""https://www.devierwindenmakelaardij.nl/""
Call log:
  - navigating to ""http://www.berkkerkhof.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.berkkerkhof.nl/"" is interrupted by another navigation to ""https://www.devierwindenmakelaardij.nl/""
Call log:
  - navigating to ""http://www.berkkerkhof.nl/"", waiting until ""domcontentloaded""
",501
Nuyens Makelaars,http://www.nuyensmakelaars.nl,nuyensmakelaars.nl,Boxtel,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.nuyensmakelaars.nl/"" is interrupted by another navigation to ""https://www.berkkerkhof.nl/""
Call log:
  - navigating to ""http://www.nuyensmakelaars.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.nuyensmakelaars.nl/"" is interrupted by another navigation to ""https://www.berkkerkhof.nl/""
Call log:
  - navigating to ""http://www.nuyensmakelaars.nl/"", waiting until ""domcontentloaded""
",914
Bastiaansen van den Bemd Makelaars Taxateurs,https://www.b-vdb.nl,b-vdb.nl,Breda,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.b-vdb.nl/
Call log:
  - navigating to ""https://www.b-vdb.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.b-vdb.nl/
Call log:
  - navigating to ""https://www.b-vdb.nl/"", waiting until ""domcontentloaded""
",878
Bink & Partners,http://www.binkenpartners.nl,binkenpartners.nl,Breda,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.binkenpartners.nl/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.binkenpartners.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.binkenpartners.nl/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.binkenpartners.nl/"", waiting until ""domcontentloaded""
",1444
ERA Focus Makelaars Breda B.V.,http://www.erafocus.nl,erafocus.nl,Breda,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.erafocus.nl/"" is interrupted by another navigation to ""https://binkenpartners.nl/""
Call log:
  - navigating to ""http://www.erafocus.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.erafocus.nl/"" is interrupted by another navigation to ""https://binkenpartners.nl/""
Call log:
  - navigating to ""http://www.erafocus.nl/"", waiting until ""domcontentloaded""
",186
Roga Makelaars B.V.,http://www.rogamakelaars.nl,rogamakelaars.nl,Breda,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.rogamakelaars.nl/"" is interrupted by another navigation to ""https://erafocus.nl/""
Call log:
  - navigating to ""http://www.rogamakelaars.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.rogamakelaars.nl/"" is interrupted by another navigation to ""https://erafocus.nl/""
Call log:
  - navigating to ""http://www.rogamakelaars.nl/"", waiting until ""domcontentloaded""
",2075
Storimans en Partners,https://www.storimansenpartners.nl,storimansenpartners.nl,Breda,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""https://www.storimansenpartners.nl/"" is interrupted by another navigation to ""https://rogamakelaars.nl/""
Call log:
  - navigating to ""https://www.storimansenpartners.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""https://www.storimansenpartners.nl/"" is interrupted by another navigation to ""https://rogamakelaars.nl/""
Call log:
  - navigating to ""https://www.storimansenpartners.nl/"", waiting until ""domcontentloaded""
",1174
Hypodomus | Pieter Vriends,http://www.hypodomus-eindhoven.nl,hypodomus-eindhoven.nl,Deurne,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.hypodomus-eindhoven.nl/"" is interrupted by another navigation to ""https://www.storimansenpartners.nl/""
Call log:
  - navigating to ""http://www.hypodomus-eindhoven.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.hypodomus-eindhoven.nl/"" is interrupted by another navigation to ""https://www.storimansenpartners.nl/""
Call log:
  - navigating to ""http://www.hypodomus-eindhoven.nl/"", waiting until ""domcontentloaded""
",556
NEO makelaars,https://www.neomakelaars.nl,neomakelaars.nl,Deurne,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""https://www.neomakelaars.nl/"" is interrupted by another navigation to ""http://www.hypodomus-eindhoven.nl/""
Call log:
  - navigating to ""https://www.neomakelaars.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""https://www.neomakelaars.nl/"" is interrupted by another navigation to ""http://www.hypodomus-eindhoven.nl/""
Call log:
  - navigating to ""https://www.neomakelaars.nl/"", waiting until ""domcontentloaded""
",3898
Kanters Makelaars B.V.,https://www.kanters.net,kanters.net,Dongen,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.kanters.net/
Call log:
  - navigating to ""https://www.kanters.net/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.kanters.net/
Call log:
  - navigating to ""https://www.kanters.net/"", waiting until ""domcontentloaded""
",128
Van den Bosch Makelaars,http://www.vandenboschmakelaars.com,vandenboschmakelaars.com,Dongen,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.vandenboschmakelaars.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.vandenboschmakelaars.com/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.vandenboschmakelaars.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.vandenboschmakelaars.com/"", waiting until ""domcontentloaded""
",738
Biemans B.V.,http://www.biemansmakelaardij.nl,biemansmakelaardij.nl,Drimmelen,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.biemansmakelaardij.nl/"" is interrupted by another navigation to ""https://www.vandenboschmakelaars.com/""
Call log:
  - navigating to ""http://www.biemansmakelaardij.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.biemansmakelaardij.nl/"" is interrupted by another navigation to ""https://www.vandenboschmakelaars.com/""
Call log:
  - navigating to ""http://www.biemansmakelaardij.nl/"", waiting until ""domcontentloaded""
",766
"Biemans Made, Makelaardij o.z. en Hypotheken",http://www.biemansmade.nl,biemansmade.nl,Drimmelen,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.biemansmade.nl/"" is interrupted by another navigation to ""https://www.biemansmakelaardij.nl/""
Call log:
  - navigating to ""http://www.biemansmade.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.biemansmade.nl/"" is interrupted by another navigation to ""https://www.biemansmakelaardij.nl/""
Call log:
  - navigating to ""http://www.biemansmade.nl/"", waiting until ""domcontentloaded""
",374
