office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,aanbod_detection_method,aanbod_detection_score,aanbod_validation_reason,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
NVW Vastgoed B.V.,,,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Hennie Kunnen Makelaardij,,,Bergeijk,Bergeijk,Bergeijk,Bergeijk,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0"
Grosfeld makelaardij,,,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0"
Makelaardij Christian,,,Boxtel,Boxtel,Boxtel,Boxtel,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0"
Van der Ven Makelaardij,,,Boxtel,Boxtel,Boxtel,Boxtel,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0"
Taxatie 4u,,,Breda,Breda,Breda,Breda,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Van Bragt Makelaars & Taxateurs,,,Breda,Breda,Breda,Breda,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Trommelen Makelaars en Taxateurs,,,Drimmelen,Drimmelen,Drimmelen,Drimmelen,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Trommelen Makelaars en Taxateurs,,,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Appart Makelaars,,,Gilze En Rijen,Gilze en Rijen,Gilze en Rijen,Gilze En Rijen,alias,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
