source_id,office_name,root_domain,website,gemeente,province,source_origin,aanbod_url,aanbod_url_quality,confidence_score,needs_review,review_reason,legal_status,last_seen_at,last_audited_at,is_active
broedersmakelaardij.nl__alphen-chaam,Makelaars- en Adviesburo Broeders,broedersmakelaardij.nl,http://www.broedersmakelaardij.nl,Alphen-Chaam,Noord-Brabant,seed,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,75,false,url contains listing signal 'aanbod',allowed_official_source,20260613T183456Z,,true
vhno.nl__alphen-chaam,Van Hoven & Oomen,vhno.nl,https://www.vhno.nl,Alphen-Chaam,Noord-Brabant,seed,https://vhno.nl/aanbod,valid,100,false,missing koopaanbod_url; residential_listing_index,allowed_official_source,20260613T183456Z,20260613T183456Z,true
baasmakelaardij.nl__altena,Baas Makelaardij B.V.,baasmakelaardij.nl,http://www.baasmakelaardij.nl,Altena,Noord-Brabant,seed,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17,valid,75,false,url contains listing signal 'aanbod',allowed_official_source,20260613T183456Z,,true
hofstedebedrijfshuisvesting.nl__altena,Hofstede Bedrijfshuisvesting B.V.,hofstedebedrijfshuisvesting.nl,https://www.hofstedebedrijfshuisvesting.nl,Altena,Noord-Brabant,seed,,missing,45,true,missing koopaanbod_url; commercial_only,missing,20260613T183456Z,20260613T183456Z,false
hofstedelandvanheusden.nl__altena,Hofstede Land van Heusden,hofstedelandvanheusden.nl,https://www.hofstedelandvanheusden.nl,Altena,Noord-Brabant,seed,https://hofstedelandvanheusden.nl/aanbod,valid,100,false,missing koopaanbod_url; residential_listing_index,allowed_official_source,20260613T183456Z,20260613T183456Z,true
hofstedemakelaardij.nl__altena,Hofstede Makelaardij Werkendam,hofstedemakelaardij.nl,http://www.hofstedemakelaardij.nl,Altena,Noord-Brabant,seed,https://hofstedemakelaardij.nl/aanbod,valid,100,false,missing koopaanbod_url; residential_listing_index,allowed_official_source,20260613T183456Z,20260613T183456Z,true
hoogveste.nl__altena,Hoogveste B.V.,hoogveste.nl,http://www.hoogveste.nl,Altena,Noord-Brabant,seed,http://www.hoogveste.nl/aanbod/woningaanbod/nieuwe-niedorp/koop/huis-10300026-Vijverweg-1673,valid,75,false,url contains listing signal 'aanbod',allowed_official_source,20260613T183456Z,,true
kolpa-ozp.nl__altena,Kolpa OZP makelaars,kolpa-ozp.nl,http://www.kolpa-ozp.nl,Altena,Noord-Brabant,seed,https://kolpa.nl/vestigingen/dordrecht,suspect,73,true,missing koopaanbod_url; project_page,needs_manual_review,20260613T183456Z,20260613T183456Z,false
lvmakelaars.nl__altena,Lamper & van Vliet Woningmakelaars,lvmakelaars.nl,http://www.lvmakelaars.nl,Altena,Noord-Brabant,seed,https://www.lvmakelaars.nl/wonen,valid,75,false,url contains listing signal 'wonen',allowed_official_source,20260613T183456Z,,true
merwelanden-makelaardij.nl__altena,Merwelanden Vastgoed Associatie BV,merwelanden-makelaardij.nl,http://www.merwelanden-makelaardij.nl,Altena,Noord-Brabant,seed,,missing,40,true,missing koopaanbod_url; no_candidate_found,missing,20260613T183456Z,20260613T183456Z,false
