office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,aanbod_detection_method,aanbod_detection_score,aanbod_validation_reason,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,Alphen Chaam,Alphen-Chaam,Alphen-Chaam,Alphen Chaam,alias,,Noord-Brabant,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,Alphen Chaam,Alphen-Chaam,Alphen-Chaam,Alphen Chaam,alias,,Noord-Brabant,https://vhno.nl/aanbod,valid,browser_audit,100,residential_listing_index,0.65,false,seed,seed,70,valid,missing koopaanbod_url; residential_listing_index,,,,,,,,,,,,,,,website_exists=true | makelaar_signals=aanbod | aanbod_url_status=valid | aanbod_url_reason=residential_listing_index | aanbod_detection_method=browser_audit | aanbod_detection_score=100
Baas Makelaardij B.V.,http://www.baasmakelaardij.nl,baasmakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,browser_audit,45,commercial_only,0.65,true,seed,seed,0,missing,missing koopaanbod_url; commercial_only,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=commercial_only | aanbod_detection_method=browser_audit | aanbod_detection_score=45 | suggested_aanbod_paths=https://www.hofstedebedrijfshuisvesting.nl/aanbod,https://www.hofstedebedrijfshuisvesting.nl/woningaanbod,https://www.hofstedebedrijfshuisvesting.nl/koopwoningen"
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://hofstedelandvanheusden.nl/aanbod,valid,browser_audit,100,residential_listing_index,0.65,false,seed,seed,70,valid,missing koopaanbod_url; residential_listing_index,,,,,,,,,,,,,,,website_exists=true | makelaar_signals=aanbod | aanbod_url_status=valid | aanbod_url_reason=residential_listing_index | aanbod_detection_method=browser_audit | aanbod_detection_score=100
Hofstede Makelaardij Werkendam,http://www.hofstedemakelaardij.nl,hofstedemakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://hofstedemakelaardij.nl/aanbod,valid,browser_audit,100,residential_listing_index,0.65,false,seed,seed,90,valid,missing koopaanbod_url; residential_listing_index,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=residential_listing_index | aanbod_detection_method=browser_audit | aanbod_detection_score=100"
Hoogveste B.V.,http://www.hoogveste.nl,hoogveste.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,http://www.hoogveste.nl/aanbod/woningaanbod/nieuwe-niedorp/koop/huis-10300026-Vijverweg-1673,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,70,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Kolpa OZP makelaars,http://www.kolpa-ozp.nl,kolpa-ozp.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://kolpa.nl/vestigingen/dordrecht,suspect,browser_audit,73,project_page,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; project_page,,,,,,,,,,,,,,,website_exists=true | makelaar_signals=makelaar | aanbod_url_status=suspect | aanbod_url_reason=project_page | aanbod_detection_method=browser_audit | aanbod_detection_score=73
Lamper & van Vliet Woningmakelaars,http://www.lvmakelaars.nl,lvmakelaars.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.lvmakelaars.nl/wonen,valid,existing_seed_url,75,url contains listing signal 'wonen',0.85,false,seed,seed,90,valid,url contains listing signal 'wonen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,wonen | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'wonen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Merwelanden Vastgoed Associatie BV,http://www.merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,browser_audit,0,no_candidate_found,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; no_candidate_found,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,vastgoed | aanbod_url_status=missing | aanbod_url_reason=no_candidate_found | aanbod_detection_method=browser_audit | aanbod_detection_score=0 | suggested_aanbod_paths=http://www.merwelanden-makelaardij.nl/aanbod,http://www.merwelanden-makelaardij.nl/woningaanbod,http://www.merwelanden-makelaardij.nl/koopwoningen"
